User 1     User 2     Similarity
 PolskiFailer           PolskiFailer              1.0
 PolskiFailer           alexchevalier1              0.0
 PolskiFailer           Luckson_O              0.0
 PolskiFailer           tiger052374              0.0
 PolskiFailer           BartekZgrajka              1.0
 PolskiFailer           vankarumang              0.0
 PolskiFailer           DynamikFocus              0.0
 PolskiFailer           500pxrtg              0.0
 PolskiFailer           BramcoteToday              0.0
 PolskiFailer           detshady6425              0.0
 PolskiFailer           unitedcycleride              0.0
 PolskiFailer           HavokGoneOOC              0.0
 PolskiFailer           AMO4551              0.0
 PolskiFailer           GlasgowsVoice              0.0
 PolskiFailer           EgidioB_USAFan              0.0
 PolskiFailer           LaaautyLopez              0.0
 PolskiFailer           Gueven8              0.0
 PolskiFailer           gavinboyce23333              1.0
 PolskiFailer           pedrommmoreira1              1.0
 PolskiFailer           Positive_Pulse              0.0
 PolskiFailer           DawnRomanick              0.0
 PolskiFailer           guruwan2b              0.0
 PolskiFailer           MiguelSuppo_              0.0
 PolskiFailer           ZacBarrient              0.0
 PolskiFailer           amanda_wowk              0.0
 PolskiFailer           maivinhalliwell              0.0
 PolskiFailer           AskMicheleFirst              0.0
 PolskiFailer           RoulaDouglas              0.0
 PolskiFailer           Nate_Santana1              0.0
 PolskiFailer           cball47              0.0
 PolskiFailer           F_Miah_786              0.0
 PolskiFailer           claireworth1685              0.0
 PolskiFailer           kennethkilpatri              1.0
 PolskiFailer           SaraRoc05191903              0.0
 PolskiFailer           babatundemuham6              0.0
 PolskiFailer           Ga_Bunnie              0.0
 PolskiFailer           jillianebean              0.0
 PolskiFailer           s_nailee              0.0
 PolskiFailer           fadlala5              1.0
 PolskiFailer           jchqx_              0.0
 PolskiFailer           Therybass              0.0
 PolskiFailer           Agamewillwin1              0.0
 PolskiFailer           NZFCLUB              0.0
 PolskiFailer           tudor1_b              0.0
 PolskiFailer           SoloCruzAzul10              0.0
 PolskiFailer           HolianVI              0.0
 PolskiFailer           MyFamil12              0.0
 PolskiFailer           djrresto              0.0
