User 1     User 2     Similarity
 PolskiFailer           PolskiFailer              1.0
 PolskiFailer           alexchevalier1              0.0
 PolskiFailer           Luckson_O              0.0
 PolskiFailer           tiger052374              0.0
 PolskiFailer           KaiserAntoinee              0.0
 PolskiFailer           BartekZgrajka              1.0
 PolskiFailer           vankarumang              0.0
 PolskiFailer           DynamikFocus              0.0
 PolskiFailer           zielweltschmerz              0.0
 PolskiFailer           ReallyDontTrump              0.0
 PolskiFailer           detshady6425              0.0
 PolskiFailer           HavokGoneOOC              0.0
 PolskiFailer           AMO4551              0.0
 PolskiFailer           GlasgowsVoice              0.0
 PolskiFailer           EgidioB_USAFan              0.0
 PolskiFailer           SESPride              0.0
 PolskiFailer           LaaautyLopez              0.0
 PolskiFailer           Gueven8              0.0
 PolskiFailer           gavinboyce23333              1.0
 PolskiFailer           C_Rich75              0.0
 PolskiFailer           matiusco              0.0
 PolskiFailer           pedrommmoreira1              1.0
 PolskiFailer           LivinTheDreamFC              0.0
 PolskiFailer           MiguelSuppo_              0.0
 PolskiFailer           ZacBarrient              0.0
 PolskiFailer           AskMicheleFirst              0.0
 PolskiFailer           imTerrah              0.0
 PolskiFailer           RoulaDouglas              0.0
 PolskiFailer           Nate_Santana1              0.0
 PolskiFailer           cball47              0.0
 PolskiFailer           F_Miah_786              0.0
 PolskiFailer           qcexclusive              0.0
 PolskiFailer           kennethkilpatri              1.0
 PolskiFailer           SaraRoc05191903              0.0
 PolskiFailer           babatundemuham6              0.0
 PolskiFailer           Ga_Bunnie              0.0
 PolskiFailer           CoryRHuston              0.0
 PolskiFailer           Phileosophos              0.0
 PolskiFailer           deadpeoplecom              0.0
 PolskiFailer           fadlala5              1.0
 PolskiFailer           Kendidally              0.0
 PolskiFailer           Therybass              0.0
 PolskiFailer           KrysBaylor              0.0
 PolskiFailer           Agamewillwin1              0.0
 PolskiFailer           NZFCLUB              0.0
 PolskiFailer           tudor1_b              0.0
 PolskiFailer           SoloCruzAzul10              0.0
